Listing of Grid Distortion Data

File : F:\Pavel\RP Optical Lab - New Generation\Sensics Projects\One for Both with Big Eyebox\Step II\Report VI\One for Both - v1702 - 2 lenses - Real - 2Config - Surface Error Simulation.ZMX
Title: Lens has no title.
Date : 29-Feb-16


Units are Millimeters.
Field units are degrees
Wavelength: 0.58756 ?m
Reference Coordinates: Xref = 0.00000E+000, Yref = 0.00000E+000
 -20  -20 Ray Error
 -20  -17 Ray Error
 -20   17 Ray Error
 -20   20 Ray Error
  20  -20 Ray Error
  20  -17 Ray Error
  20   17 Ray Error
  20   20 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -20	 -19	-4.60000E+001	-4.45308E+001	 5.50032E+001	-3.72595E+001	-3.53965E+001	-1.84466E+001	-1.76731E+001	   -50.292635%
 -20	 -18	-4.60000E+001	-4.29835E+001	 5.43296E+001	-3.72595E+001	-3.35336E+001	-2.44315E+001	-2.20740E+001	   -34.314746%
 -20	 -16	-4.60000E+001	-3.96392E+001	 5.29809E+001	-3.72595E+001	-2.98076E+001	-2.44358E+001	-1.95487E+001	   -34.417144%
 -20	 -15	-4.60000E+001	-3.78346E+001	 5.23121E+001	-3.72595E+001	-2.79446E+001	-2.87806E+001	-2.15855E+001	   -22.756263%
 -20	 -14	-4.60000E+001	-3.59373E+001	 5.16517E+001	-3.72595E+001	-2.60817E+001	-2.96720E+001	-2.07704E+001	   -20.363899%
 -20	 -13	-4.60000E+001	-3.39443E+001	 5.10038E+001	-3.72595E+001	-2.42187E+001	-3.02733E+001	-1.96777E+001	   -18.750024%
 -20	 -12	-4.60000E+001	-3.18534E+001	 5.03728E+001	-3.72595E+001	-2.23557E+001	-3.06911E+001	-1.84146E+001	   -17.628919%
 -20	 -11	-4.60000E+001	-2.96633E+001	 4.97637E+001	-3.72595E+001	-2.04927E+001	-3.09880E+001	-1.70434E+001	   -16.831865%
 -20	 -10	-4.60000E+001	-2.73735E+001	 4.91816E+001	-3.72595E+001	-1.86298E+001	-3.12042E+001	-1.56021E+001	   -16.251620%
 -20	  -9	-4.60000E+001	-2.49850E+001	 4.86318E+001	-3.72595E+001	-1.67668E+001	-3.13670E+001	-1.41152E+001	   -15.814746%
 -20	  -8	-4.60000E+001	-2.24999E+001	 4.81200E+001	-3.72595E+001	-1.49038E+001	-3.14950E+001	-1.25980E+001	   -15.471095%
 -20	  -7	-4.60000E+001	-1.99223E+001	 4.76517E+001	-3.72595E+001	-1.30408E+001	-3.16003E+001	-1.10601E+001	   -15.188587%
 -20	  -6	-4.60000E+001	-1.72579E+001	 4.72323E+001	-3.72595E+001	-1.11779E+001	-3.16896E+001	-9.50688E+000	   -14.948920%
 -20	  -5	-4.60000E+001	-1.45142E+001	 4.68673E+001	-3.72595E+001	-9.31488E+000	-3.17661E+001	-7.94153E+000	   -14.743597%
 -20	  -4	-4.60000E+001	-1.17009E+001	 4.65612E+001	-3.72595E+001	-7.45190E+000	-3.18306E+001	-6.36612E+000	   -14.570473%
 -20	  -3	-4.60000E+001	-8.82917E+000	 4.63185E+001	-3.72595E+001	-5.58893E+000	-3.18826E+001	-4.78239E+000	   -14.430996%
 -20	  -2	-4.60000E+001	-5.91208E+000	 4.61424E+001	-3.72595E+001	-3.72595E+000	-3.19209E+001	-3.19209E+000	   -14.328142%
 -20	  -1	-4.60000E+001	-2.96393E+000	 4.60357E+001	-3.72595E+001	-1.86298E+000	-3.19444E+001	-1.59722E+000	   -14.264962%
 -20	   0	-4.60000E+001	 0.00000E+000	 4.60000E+001	-3.72595E+001	 0.00000E+000	-3.19524E+001	 0.00000E+000	   -14.243641%
 -20	   1	-4.60000E+001	 2.96393E+000	 4.60357E+001	-3.72595E+001	 1.86298E+000	-3.19444E+001	 1.59722E+000	   -14.264962%
 -20	   2	-4.60000E+001	 5.91208E+000	 4.61424E+001	-3.72595E+001	 3.72595E+000	-3.19209E+001	 3.19209E+000	   -14.328142%
 -20	   3	-4.60000E+001	 8.82917E+000	 4.63185E+001	-3.72595E+001	 5.58893E+000	-3.18826E+001	 4.78239E+000	   -14.430996%
 -20	   4	-4.60000E+001	 1.17009E+001	 4.65612E+001	-3.72595E+001	 7.45190E+000	-3.18306E+001	 6.36612E+000	   -14.570473%
 -20	   5	-4.60000E+001	 1.45142E+001	 4.68673E+001	-3.72595E+001	 9.31488E+000	-3.17661E+001	 7.94153E+000	   -14.743597%
 -20	   6	-4.60000E+001	 1.72579E+001	 4.72323E+001	-3.72595E+001	 1.11779E+001	-3.16896E+001	 9.50688E+000	   -14.948920%
 -20	   7	-4.60000E+001	 1.99223E+001	 4.76517E+001	-3.72595E+001	 1.30408E+001	-3.16003E+001	 1.10601E+001	   -15.188587%
 -20	   8	-4.60000E+001	 2.24999E+001	 4.81200E+001	-3.72595E+001	 1.49038E+001	-3.14950E+001	 1.25980E+001	   -15.471095%
 -20	   9	-4.60000E+001	 2.49850E+001	 4.86318E+001	-3.72595E+001	 1.67668E+001	-3.13670E+001	 1.41152E+001	   -15.814746%
 -20	  10	-4.60000E+001	 2.73735E+001	 4.91816E+001	-3.72595E+001	 1.86298E+001	-3.12042E+001	 1.56021E+001	   -16.251620%
 -20	  11	-4.60000E+001	 2.96633E+001	 4.97637E+001	-3.72595E+001	 2.04927E+001	-3.09880E+001	 1.70434E+001	   -16.831865%
 -20	  12	-4.60000E+001	 3.18534E+001	 5.03728E+001	-3.72595E+001	 2.23557E+001	-3.06911E+001	 1.84146E+001	   -17.628919%
 -20	  13	-4.60000E+001	 3.39443E+001	 5.10038E+001	-3.72595E+001	 2.42187E+001	-3.02733E+001	 1.96777E+001	   -18.750024%
 -20	  14	-4.60000E+001	 3.59373E+001	 5.16517E+001	-3.72595E+001	 2.60817E+001	-2.96720E+001	 2.07704E+001	   -20.363899%
 -20	  15	-4.60000E+001	 3.78346E+001	 5.23121E+001	-3.72595E+001	 2.79446E+001	-2.87806E+001	 2.15855E+001	   -22.756263%
 -20	  16	-4.60000E+001	 3.96392E+001	 5.29809E+001	-3.72595E+001	 2.98076E+001	-2.44358E+001	 1.95487E+001	   -34.417144%
 -20	  18	-4.60000E+001	 4.29835E+001	 5.43296E+001	-3.72595E+001	 3.35336E+001	-2.44315E+001	 2.20740E+001	   -34.314746%
 -20	  19	-4.60000E+001	 4.45308E+001	 5.50032E+001	-3.72595E+001	 3.53965E+001	-1.84466E+001	 1.76731E+001	   -50.292635%
