Listing of Grid Distortion Data

File : F:\Pavel\RP Optical Lab - New Generation\Sensics Projects\One for Both with Big Eyebox\Step II\Report VI\One for Both - v1702 - 2 lenses - Real - 2Config - Surface Error Simulation.ZMX
Title: Lens has no title.
Date : 29-Feb-16


Units are Millimeters.
Field units are degrees
Wavelength: 0.58756 ?m
Reference Coordinates: Xref = 0.00000E+000, Yref = 0.00000E+000

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -20	 -20	-4.60000E+001	-4.60000E+001	 5.56730E+001	-3.72551E+001	-3.72551E+001	-2.50790E+001	-2.51809E+001	   -32.546500%
 -20	 -19	-4.60000E+001	-4.45308E+001	 5.50032E+001	-3.72551E+001	-3.53923E+001	-2.69319E+001	-2.56836E+001	   -27.578098%
 -20	 -18	-4.60000E+001	-4.29835E+001	 5.43296E+001	-3.72551E+001	-3.35296E+001	-2.82426E+001	-2.55130E+001	   -24.065322%
 -20	 -17	-4.60000E+001	-4.13543E+001	 5.36545E+001	-3.72551E+001	-3.16668E+001	-2.91650E+001	-2.48802E+001	   -21.596692%
 -20	 -16	-4.60000E+001	-3.96392E+001	 5.29809E+001	-3.72551E+001	-2.98041E+001	-2.94511E+001	-2.35609E+001	   -20.947475%
 -20	 -15	-4.60000E+001	-3.78346E+001	 5.23121E+001	-3.72551E+001	-2.79413E+001	-3.00428E+001	-2.25321E+001	   -19.359092%
 -20	 -14	-4.60000E+001	-3.59373E+001	 5.16517E+001	-3.72551E+001	-2.60786E+001	-3.04487E+001	-2.13141E+001	   -18.269770%
 -20	 -13	-4.60000E+001	-3.39443E+001	 5.10038E+001	-3.72551E+001	-2.42158E+001	-3.07266E+001	-1.99723E+001	   -17.523640%
 -20	 -12	-4.60000E+001	-3.18534E+001	 5.03728E+001	-3.72551E+001	-2.23530E+001	-3.09206E+001	-1.85524E+001	   -17.002899%
 -20	 -11	-4.60000E+001	-2.96633E+001	 4.97637E+001	-3.72551E+001	-2.04903E+001	-3.10630E+001	-1.70847E+001	   -16.620653%
 -20	 -10	-4.60000E+001	-2.73735E+001	 4.91816E+001	-3.72551E+001	-1.86275E+001	-3.11762E+001	-1.55881E+001	   -16.317042%
 -20	  -9	-4.60000E+001	-2.49850E+001	 4.86318E+001	-3.72551E+001	-1.67648E+001	-3.12739E+001	-1.40733E+001	   -16.054595%
 -20	  -8	-4.60000E+001	-2.24999E+001	 4.81200E+001	-3.72551E+001	-1.49020E+001	-3.13640E+001	-1.25456E+001	   -15.812943%
 -20	  -7	-4.60000E+001	-1.99223E+001	 4.76517E+001	-3.72551E+001	-1.30393E+001	-3.14493E+001	-1.10073E+001	   -15.583815%
 -20	  -6	-4.60000E+001	-1.72579E+001	 4.72323E+001	-3.72551E+001	-1.11765E+001	-3.15301E+001	-9.45904E+000	   -15.366851%
 -20	  -5	-4.60000E+001	-1.45142E+001	 4.68673E+001	-3.72551E+001	-9.31377E+000	-3.16048E+001	-7.90121E+000	   -15.166359%
 -20	  -4	-4.60000E+001	-1.17009E+001	 4.65612E+001	-3.72551E+001	-7.45102E+000	-3.16709E+001	-6.33419E+000	   -14.988926%
 -20	  -3	-4.60000E+001	-8.82917E+000	 4.63185E+001	-3.72551E+001	-5.58826E+000	-3.17258E+001	-4.75887E+000	   -14.841721%
 -20	  -2	-4.60000E+001	-5.91208E+000	 4.61424E+001	-3.72551E+001	-3.72551E+000	-3.17669E+001	-3.17669E+000	   -14.731308%
 -20	  -1	-4.60000E+001	-2.96393E+000	 4.60357E+001	-3.72551E+001	-1.86275E+000	-3.17924E+001	-1.58962E+000	   -14.662863%
 -20	   0	-4.60000E+001	 0.00000E+000	 4.60000E+001	-3.72551E+001	 0.00000E+000	-3.18011E+001	 0.00000E+000	   -14.639673%
